,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,year,month,Day,Hour
10,Yeatesh 21,Lots of all of the profiles are non responsive just tap swipe like a fool by paying monthly subscription nothing else don't waste time downloading this application,1,1,5.362.0,2024-03-23 22:08:24,"Sorry to hear you're having trouble connecting with your matches. Try sending a personalized, creative message or ask a question about something on their profile—that's sure to get the conversation started! You got this. 💛",2024-03-24 11:34:23,5.362.0,2024,3,Saturday,22
11,Snaida Lawson,it's a very interesting App🌚I love it 🧡💛,4,0,5.362.0,2024-03-23 21:49:44,"Hey Snaida. Thanks for sharing this feedback with us—we love that you're enjoying using the app! If you have any suggestions or improvements, feel free to contact us at @bumblesupport on Twitter or bumble.com/contact. 💌",2024-03-23 23:00:53,5.362.0,2024,3,Saturday,21
12,Trinity Robitaille,"this is the best dating app out there. I have had so much success meeting people, (over 60 IRL meet ups), and it has more safety features than any other.",5,0,5.362.0,2024-03-23 21:42:33,Hey Trinity. It's great to hear that you're buzzin' in the Hive! 🐝,2024-03-23 23:00:23,5.362.0,2024,3,Saturday,21
13,J G,not showing people who liked you on purpose to buy premium:))),1,1,5.362.0,2024-03-23 21:35:33,You don't need to spend any money to match with admirers or notifications in your Beeline. These are people who have already swiped right on your profile and are waiting for you to swipe right on them. You can find them in your swipe deck for free. 💛,2024-03-23 22:59:55,5.362.0,2024,3,Saturday,21
14,Benjamin,All dating apps are garbage cant even see who likes you without obsurd paywall,1,1,,2024-03-23 21:24:26,Hey Benjamin! You don't need to spend any money to match with admirers or notifications in your Beeline. These are people who have already swiped right on your profile and are waiting for you to swipe right on them. You can find them in your swipe deck for free.,2024-03-23 22:59:53,,2024,3,Saturday,21
15,Arman Kingkhan,mein kisi se baat nhi kr sakta nhi mil sakta toh m apeko kis baat k paise dun Jo apne offer lagay huye h,1,0,5.362.0,2024-03-23 20:56:20,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-03-23 22:59:24,5.362.0,2024,3,Saturday,20
16,Nae West,Try any other dating app,1,1,5.362.0,2024-03-23 20:36:08,Hey Nae! We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-03-23 22:59:22,5.362.0,2024,3,Saturday,20
17,Benjamin Burk,got robbed 11 times smh,1,1,,2024-03-23 20:24:14,Hey Benjamin! Can you tell us more about what happened? Please message us at http://bumble.com/contact or on Facebook or Twitter (@BumbleSupport). We want to look into this for you.,2024-03-23 22:58:23,,2024,3,Saturday,20
18,Goddey Akhagbe,awesome app,5,0,5.362.0,2024-03-23 20:22:45,"We appreciate your kind words, Goddey. 🙌",2024-03-23 22:56:55,5.362.0,2024,3,Saturday,20
19,ALEX TIBAS,Gave me the most amazing girlfriend 🥰,5,0,,2024-03-23 20:04:54,"This is amazing, Alex! Please tell us more at bumble.com/success-stories/share. 💛",2024-03-23 22:56:53,,2024,3,Saturday,20
20,Nickoma Duncan,Prices are stupid hi . I'd understand 20 a month but come on do better.,1,0,5.362.0,2024-03-23 19:52:27,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-03-23 22:56:25,5.362.0,2024,3,Saturday,19
21,Asghar Khan,good,5,0,5.362.0,2024-03-23 19:31:45,"We appreciate your kind words, Asghar. 🙌",2024-03-23 22:56:23,5.362.0,2024,3,Saturday,19
22,Dhisa Sadhukhan,"The app is okish.. There are some main problems I think should be taken care of! 1. If you are messaging someone , the notification doesn't pop in your mobile device that the other person has texted you. 2. It's always the girls who are to be texting first... I think sometimes It's better to be an instant match and msg kinda option where the guys can also txt first.",3,0,5.362.0,2024-03-23 19:22:54,We appreciate you sharing your feedback with us. We are always looking for ways to improve our members' experience on the app so we will make sure to pass your input along to our Product Team.,2024-03-24 07:01:52,5.362.0,2024,3,Saturday,19
23,Nichole Helm,it's cool so far except it asks you to pay to talk to ppl.,4,0,5.362.0,2024-03-23 19:17:25,"Thanks for your feedback! It's really helpful. You don't need to pay to make connections in the Hive - all Premium features are optional. If you have any questions, reach out to us at bumble.com/contact or @BumbleSupport on Facebook/Twitter.",2024-03-24 07:02:23,5.362.0,2024,3,Saturday,19
24,Naman Jain,Iam buy a premium plan but I have not received any match request,1,1,5.362.0,2024-03-23 18:59:47,"Hey Naman! Thanks for reaching out. While our subscriptions are there to help maximize your experience, we can't promise exact results for anyone. If you’d like to talk to a Support Team Member about your profile to check everything is running as it should be, please message us here: bumble.com/contact.",2024-03-23 22:54:54,5.362.0,2024,3,Saturday,18
25,Ben Zack,"the app is okay. dating apps are mostly the same it's the people that matter. I figured it would be fun to try the BFF side of it, however the price is ridiculous. why a dating app should be more than 10 or $15 a month I have no idea. I would give it more stars if it were less expensive. maybe the strategy is to sign up for one month and get a burner email / text account and move conversations over to that as quickly as possible.",1,0,5.362.0,2024-03-23 18:56:19,"Thanks for your feedback! It's really helpful. You don't need to pay to make connections in the Hive - all Premium features are optional. If you have any questions, reach out to us at bumble.com/contact or @BumbleSupport on Facebook/Twitter.",2024-03-24 07:03:23,5.362.0,2024,3,Saturday,18
26,Brittney Howard,Met some cool people.,4,0,5.362.0,2024-03-23 18:09:41,"Hey Brittany! Thanks for sharing this feedback with us—we love that you're enjoying using the app! If you have any suggestions or improvements, feel free to contact us at @bumblesupport on Twitter or bumble.com/contact. 💌",2024-03-23 22:54:53,5.362.0,2024,3,Saturday,18
27,david closner,so.many bots and try to.upcharhe everything,1,1,5.362.0,2024-03-23 18:06:13,"Hey David! We take fake profiles seriously on our platform and have a team dedicated to investigating suspicious accounts. If you’re ever unsure about a profile, please report them in the app and we'll investigate right away!",2024-03-23 22:54:26,5.362.0,2024,3,Saturday,18
28,Shrikant Mamgain,greatapp nice so good,5,0,5.362.0,2024-03-23 18:03:39,"Thanks for your kind words, Shrikant. Your feedback is so valuable to our team—we love knowing that you’re enjoying your experience. 💛",2024-03-23 22:54:24,5.362.0,2024,3,Saturday,18
29,Phillip Kuyler,DO NOT SUBSCRIBE! They make canceling your subscription impossible! I am STILL being charged!,1,1,5.362.0,2024-03-23 17:46:47,"Hey Phillip! The steps to cancel your subscription will depend on your payment method. You can find instructions on our Help Center here: https://bumble.com/en/help/how-can-i-cancel-my-bumble-boost--bumble-premium-subscription. If you're unable to cancel your subscription following those steps, please reach out to bumble.com/contact.",2024-03-23 22:54:23,5.362.0,2024,3,Saturday,17
30,Anneliis Altdorf,"Paying for "" a feature"" without it working, like backtrack",1,1,5.358.0,2024-03-23 17:12:36,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-03-24 07:03:53,5.358.0,2024,3,Saturday,17
31,Daniel,OMG I think we got a winner with Bumble finally! 🙏,5,0,5.362.0,2024-03-23 17:08:24,"Thank you for your message. For further assistance, please get in touch with our support team at: bumble.com/contact. Thank you. 💛",2024-03-24 06:08:53,5.362.0,2024,3,Saturday,17
32,Fernando Muniz,"Worst app to use. It always wants me to refresh filters, every 2 weeks I can only swipe like 3 times cause no one uses the app. Pay for Unlimited swipes? For what? Theres no one. Then you get a message like ""this person is working on themselves"" Okay? Go work on yourself, dont try to bring your problems onto someone who is looking, get off the app, apperantly males are not alowed to send the first message, Discriminatory as much! UNINSTALL NOW!",1,2,5.362.0,2024-03-23 16:33:04,"We're sorry to hear that you didn't have a great experience with us. At Bumble, we believe in treating everyone with kindness and respect, regardless of who they are. If you'd like us to take a look at your profile, just send us a message on Twitter or Facebook (@BumbleSupport). 💛",2024-03-24 11:33:22,5.362.0,2024,3,Saturday,16
33,FIRAS DHUKKA,I have wasted 700 hundred on bumble. I brought the subscription and still didn't get single like also there is a option for complimentary and super like that was also paid. They just making fool to us they are just making money by using us. All uninstall bumble and never ever download it. It's battery to buy in tinder atleast without paying i got 4 likes. Worst aap ever,1,1,,2024-03-23 16:26:06,"Thanks for reaching out. While our subscriptions are there to help maximize your experience, we can't promise exact results for anyone. If you’d like to talk to a Support Team Member about your profile to check everything is running as it should be, please message us here: bumble.com/contact.",2024-03-24 11:32:23,,2024,3,Saturday,16
34,Veliza Third Eye,"if you asked me to click delete, there's no option for that, only cancel to delete acc Or confirm. Nothing is working out, unfortunately cause I'm having difficulty in deleting my account, could you Please Help me to delete my account from your system, I'm sure you could.. Unfortunately I had uninstalled it. Thanks",1,1,,2024-03-23 16:25:22,"We’re sad to see you go and we hope to welcome you back into The Hive again in the future. To delete your account, scroll to the bottom of your settings and tap on “delete account” and then type in “delete” in all lowercase letters. Remember, if you are just looking for a small break, you can always use our Snooze feature instead. 🐝",2024-03-24 11:31:53,,2024,3,Saturday,16
35,Isaac Knox,Dating is hard enough as is. Nobody wants to pay 40 dollars a month to get rejected. Can't talk to or even see who likes you without paying. Developers respond to the reviews pretending there isn't a massive paywall. Don't believe any of the developers' responses. You have to pay to see who likes you.,1,4,5.362.0,2024-03-23 16:06:44,You don't need to spend any money to match with admirers or notifications in your Beeline. These are people who have already swiped right on your profile and are waiting for you to swipe right on them. You can find them in your swipe deck for free.,2024-03-24 11:30:23,5.362.0,2024,3,Saturday,16
36,S Sh,"Useless edit: as in, useless support team. 5 email exchanges for what should be a simple issue. It's still not resolved. They asked for a video, then said can't view video and wanted png or jpeg for what I had already explained was when nothing happens when I try to edit one part of my profile. That's not something you can screenshot. Yet after explaining this, they still asked for a screenshot. U s e l e s s",1,2,5.362.0,2024-03-23 15:41:35,"We're sorry to hear you haven't heard back from us yet! Your message is important to us, so please rest assured we'll be replying to you shortly. We can't thank you enough for your patience. 💛",2024-03-24 11:28:52,5.362.0,2024,3,Saturday,15
37,Braden Hite,"Bumble doesn't present you with your matches in the free version. It will tell you there are people who have liked you waiting in your queue, but if you swipe right on your whole queue it will still say people have liked you without matching you to a single person. I believe Bumble uses this to force their paid version on users. Their response to my review shows a lack of reading comprehension.",1,4,5.362.0,2024-03-23 15:29:34,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-24 11:28:23,5.362.0,2024,3,Saturday,15
38,Ethan Sims (Ethan. D Boyce Sims),Awfull app makes you pay for everything says its free but after the furst day to get a trail over thing and trying to get you to sign up for a monthy supscription,1,1,5.362.0,2024-03-23 15:00:29,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-03-24 11:26:24,5.362.0,2024,3,Saturday,15
39,Sam Lee,Can't use unless I give them permission to use my Google or Facebook to sign in. I won't do that. Useless app. Useless developer's. I will uninstall immediately.,1,1,5.358.0,2024-03-23 14:51:40,"Hey Sam! You also have the option to use your phone number. If you are struggling with this, please message us at @BumbleSupport on social media with a few more details—screenshots will help, too. Or, you can contact us via bumble.com/contact 🫶",2024-03-23 22:53:23,5.358.0,2024,3,Saturday,14
40,Aditya Raj,I didn't like my experience on your app. Previously I was using normal but last Thursday I've switched to premium and even with unlimited likes and everything I still haven't got a match if I can't see the results of premium in 1 week tell me one good reason for me to continue paying??,2,1,,2024-03-23 14:15:25,"Thanks for reaching out. While our subscriptions are there to help maximize your experience, we can't promise exact results for anyone. If you’d like to talk to a Support Team Member about your profile to check everything is running as it should be, please message us here: bumble.com/contact.",2024-03-24 11:26:23,,2024,3,Saturday,14
41,jeacar pascua,I only swipe 5 and I'm out of swipe that so unfiar and there's a lot of fake face and not legit person and they are not even chat the app is getting boring unlike tinder unlimited swipe why can't you do the same and God every update the less swipe maybe if update will 1 swipe and we will 150 just to continue swiping 😒😒😒😒😒😏 this app so scamer and full of fake faces who ever evented this app is getting boring nothing has changed its still the same,1,2,5.362.0,2024-03-23 13:59:38,"We're always working to increase the number of genuine, quality connections for our users. Part of that means encouraging more intentional swiping. We incorporated a swipe limit to help our users get the results they’re hoping for. If you're in a rush to see more users though, you're always welcome to upgrade your account to Boost or Premium.",2024-03-24 11:25:23,5.362.0,2024,3,Saturday,13
42,Michael,"What a way to meet and greet, cyber dating is the fling of the present...what will the future hold. Great app!",5,0,5.362.0,2024-03-23 13:57:45,Hey Michael! We're so happy to hear that! We love that you enjoy buzzin' in the Hive. 🐝,2024-03-23 22:51:52,5.362.0,2024,3,Saturday,13
43,Trần Minh Tuấn,Why i cant verify my picture. What the hell with your verificarion machanism,1,1,5.362.0,2024-03-23 13:38:45,Oh no! Our Support Team would be more than happy to help assist you with verifying your profile. Send us a quick message at bumble.com/contact or on Facebook or Twitter (@BumbleSupport) and we'll get you up and buzzin' in no time!,2024-03-23 13:52:54,5.362.0,2024,3,Saturday,13
44,Ajanaku Kunle,"cool and meeting nice people,but still single",5,0,5.362.0,2024-03-23 13:26:22,We appreciate your kind words. 🙌,2024-03-23 13:53:23,5.362.0,2024,3,Saturday,13
45,Sachin Adsare,Worst customer service. My premium stopped working and after 15 days i purchased. I raised the issue but since 4 days i am still not able to use premium features.,1,2,,2024-03-23 13:21:08,"We're sorry to hear you haven't heard back from us yet! Your message is important to us, so please rest assured we'll be replying to you shortly. We can't thank you enough for your patience. 💛",2024-03-23 13:53:53,,2024,3,Saturday,13
46,Carlos Dyer,bumble is in a league of its own making. Buzzing in the hive that's about it creating honey is a bee's normality yet after the days long activity meeting the right ✅ bee is critical making honey has nothing to do with that part. Bee's have a distinctive gravitation pull to each other this what defines their unique relationship,5,0,5.362.0,2024-03-23 12:45:11,"Thanks for sharing this feedback with us—we love that you're enjoying using the app! If you have any suggestions or improvements, feel free to contact us at @bumblesupport on Twitter or bumble.com/contact. 💌",2024-03-23 13:55:22,5.362.0,2024,3,Saturday,12
47,Geeteshwar Kachendra,Scam,1,2,,2024-03-23 12:43:56,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-23 13:55:23,,2024,3,Saturday,12
48,Abu Ibraheem Al-Athari,Having verified myself via photo - The app has not let me complete my profile without annoyingly prompting me every minute about a profile picture!,1,1,5.362.0,2024-03-23 12:27:34,Oh no! Our Support Team would be more than happy to help assist you with verifying your profile. Send us a quick message at bumble.com/contact or on Facebook or Twitter (@BumbleSupport) and we'll get you up and buzzin' in no time!,2024-03-23 13:56:23,5.362.0,2024,3,Saturday,12
49,akash singh,"Worst app, only time waste. Even after having the subscription did not got any 1 single match...",1,2,5.362.0,2024-03-23 11:17:35,We're sorry to hear you haven't had the best experience on Bumble. For ideas to improve your profile check out these resources (1) bumble.com/the-buzz/best-bumble-profile-photo-tips and (2) bumble.com/help/i-m-not-getting-any-matches.,2024-03-23 12:54:22,5.362.0,2024,3,Saturday,11
50,Rebekah Vaughan,"I hate the pop-up you get to tell you that 'You've missed a potential match!' when you swipe left on someone. If I don't like them, they're not a 'potential match', are they?! The subscription is way too high to stay subscribed for more than a week at a time every now and again, but without it, you can't filter out unsuitable people (for me, it's guys who want kids). Even with the subscription, I kept getting 'likes' from people 100m out of my chosen area, which is a waste of everyone's time.",2,1,5.362.0,2024-03-23 11:16:32,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-23 13:48:22,5.362.0,2024,3,Saturday,11
51,Cj Sky,"Been using for over a year now and at this rate it seems like a scam once the subcription end i get a new match but as usal you need to pay to see who it is, and the results remain the same no responce after first message followed by another wasted sum of money that could of gone to something better.",2,3,5.361.0,2024-03-23 11:13:14,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-23 13:48:24,5.361.0,2024,3,Saturday,11
52,vikaash balendra,"The app has some probelm. I am unable to go beyond this point ""add two photos"". Tried uninstalling and installing back. It did not work.",2,0,5.362.0,2024-03-23 11:05:21,"Our team moderates based on our photo guidelines (https://bit.ly/3tU0sBS). If you think there’s been a mistake, our team would be more than happy to take a second look. Please send us a message here: bumble.com/contact. We’re here for you! 💛",2024-03-23 13:48:52,5.362.0,2024,3,Saturday,11
53,Andy Brown,very good,5,0,5.362.0,2024-03-23 10:35:51,Thanks for your positive feedback. We're rooting for you! 🐝,2024-03-23 12:55:25,5.362.0,2024,3,Saturday,10
54,Michael Ankutse,I downloaded it and nothing seems to be working,1,2,5.362.0,2024-03-23 10:26:45,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-23 13:04:23,5.362.0,2024,3,Saturday,10
55,nitin Pandey,Let me tell you a short story to expose this scam Application. Once it was showing I've got 8 likes .So I had to pay to see those 8 likes. After buying it's subscription I had a look at those matches and I was shocked! boom! all of them were from out of India and I didn't get any reply from any one of those matches. Then after 24 hours those matches got disappeared as per bumble's feature. Please report this app as much as you can 🙏,1,30,5.362.0,2024-03-23 10:10:52,Thanks for your feedback! You can extend one match for 24 hours or get unlimited matches with Bumble Boost or Bumble Premium. Don't forget to turn on notifications in your settings so you don't miss any matches.,2024-03-23 13:49:23,5.362.0,2024,3,Saturday,10
56,Shruti,Beautiful experience❤️,5,0,,2024-03-23 10:08:49,We appreciate your kind words. 🙌,2024-03-23 12:55:23,,2024,3,Saturday,10
57,Roo R,got a new phone and number 2 months a go( not used bumble is years before this) and its saying my account is blocked 😭 I never even had one in the first place? awful if customer service team can help I'll be happy,1,3,5.362.0,2024-03-23 09:39:48,"Our team fully investigates all reports before taking action and moderates based solely on our Community Guidelines. We would never arbitrarily block someone from our platform. If you would like our team to review your case, message @BumbleSupport on Twitter or Facebook.",2024-03-23 13:17:53,5.362.0,2024,3,Saturday,9
58,Leon Onnen,"Wirklich schöne und intuitive App, hebt sich von den anderen ab. Allerdings sind mehr und mehr Funktionen mittlerweile hinter der Paywall verschwunden, wodurch sich Bumble eigentlich noch mehr abgehoben hatte, etwa das kostenlose ""Kompliment"". Schade!",4,0,5.362.0,2024-03-23 09:14:36,"Vielen Dank, dass du diese Rückmeldung mit uns teilst - es freut uns, dass dir die App so gut gefällt! Wenn du irgendwelche Ideen oder Verbesserungensvorschläge hast, zögere nicht, uns unter @BumbleSupport auf Twitter oder bumble.com/contact zu kontaktieren. 💌",2024-03-24 06:26:22,5.362.0,2024,3,Saturday,9
59,Isis Mojica,I haven't found anyone haven't linked to upgrade but it feels hopeful,3,0,5.362.0,2024-03-23 09:06:27,We appreciate you sharing your feedback with us. We are always looking for ways to improve our members' experience on the app so we will make sure to pass your input along to our Product Team.,2024-03-23 13:50:22,5.362.0,2024,3,Saturday,9
60,মেঘনা দত্ত,New glitch ( verification of selfie),1,1,,2024-03-23 06:35:23,Oh no! Our Support Team would be more than happy to help assist you with verifying your profile. Send us a quick message at bumble.com/contact or on Facebook or Twitter (@BumbleSupport) and we'll get you up and buzzin' in no time!,2024-03-23 12:54:53,,2024,3,Saturday,6
61,Nicholas Bishop,"Pay to play, scam",1,1,5.362.0,2024-03-23 06:16:39,"All of our core features are free to use. You don't have to pay to swipe, make matches, or send messages. We offer a few paid options to access additional features, but they're totally optional. You don't have to pay to make authentic connections in the Hive. If you have any questions, definitely reach out to our Support Team at bumble.com/contact",2024-03-23 12:54:24,5.362.0,2024,3,Saturday,6
62,Timmy Bamgbala,Why can't I login!?,1,0,5.362.0,2024-03-23 06:10:43,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-23 12:54:54,5.362.0,2024,3,Saturday,6
63,Emaye Destiny,I don't understand why I couldn't log in into my account back? What's this I just deleted this app for a while trying to log in now since I can't even tho no code they are calling and I can't even do anything nor access my account,1,1,,2024-03-23 06:00:59,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-23 13:51:52,,2024,3,Saturday,6
64,Kian Jaranay,Worse dating apps ever,1,1,,2024-03-23 05:42:13,We're sorry you didn't enjoy your experience on Bumble. Our team would love the opportunity to improve your experience in the Hive! Please message our Support Team on Twitter or Facebook (@BumbleSupport) and we'd be happy to help.,2024-03-23 12:55:52,,2024,3,Saturday,5
65,Rajjak Hossain,excellent this app,5,0,5.362.0,2024-03-23 04:45:18,It's great to hear that you're buzzin' in the Hive! 🐝,2024-03-23 12:55:54,5.362.0,2024,3,Saturday,4
66,Ahmed Besheer,Nice app,5,0,5.362.0,2024-03-23 04:32:18,Thanks for your positive feedback. We're rooting for you! 🐝,2024-03-23 12:56:23,5.362.0,2024,3,Saturday,4
67,Justin Weathers,literaly first match was a scammer,1,2,5.362.0,2024-03-23 04:10:58,"Hey Justin! We take fake profiles seriously on our platform and have a team dedicated to investigating suspicious accounts. If you’re ever unsure about a profile, please report them in the app and we'll investigate right away! Please send us a message with more information on Twitter or Facebook (@BumbleSupport); we'd be happy to help. 💛",2024-03-23 22:25:23,5.362.0,2024,3,Saturday,4
68,Char Red,Worst dating app. Zero matches in 2 months. Most profiles are ghost profiles. Don't waste your time or money or money on this,1,5,5.359.1,2024-03-23 03:42:18,We're sorry to hear you haven't had the best experience on Bumble. For ideas to improve your profile check out these resources (1) bumble.com/the-buzz/best-bumble-profile-photo-tips and (2) bumble.com/help/i-m-not-getting-any-matches.,2024-03-23 13:04:25,5.359.1,2024,3,Saturday,3
69,Nick Dreghorn,"Does not work. Won't let me even attempt to get on. This is fraud, plain, and simple. I have notified the FCC for fraud.",1,1,5.362.0,2024-03-23 03:34:59,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-23 13:12:22,5.362.0,2024,3,Saturday,3
70,alex hb,"ok so far seems busier than tinder but it's brand new to me so it could be a load of ""Colin's"" or someone whose name looks like a pirates pretending to be Lisa, Blonde, Petite, big crazy and a bit classy, she makes the first move 🧐🧐seems to good to be true but maybe they're starting to see what my mum has all these years 😉😃",4,0,5.362.0,2024-03-23 03:17:55,"We get how frustrating it can be when you have a new match you're excited about, but no move is made. We know people can get busy or even nervous initiating the conversation at first. Here’s a tip: try adding a conversation prompt to your bio to help start the conversation or if someone's profile particularly stands out to you, SuperSwipe them!",2024-03-23 13:57:23,5.362.0,2024,3,Saturday,3
71,Olatunji Harrison,Never got the call or text message for verification,1,1,5.362.0,2024-03-23 03:07:28,Oh no! Our Support Team would be more than happy to help assist you with verifying your profile. Send us a quick message at bumble.com/contact or on Facebook or Twitter (@BumbleSupport) and we'll get you up and buzzin' in no time!,2024-03-23 12:57:54,5.362.0,2024,3,Saturday,3
72,Delmar Lupoy,thank u,5,0,5.362.0,2024-03-23 02:26:47,Thanks for your kind words. Your feedback is so valuable to our team—we love knowing that you’re enjoying your experience. 💛,2024-03-23 12:57:52,5.362.0,2024,3,Saturday,2
73,Aiden Sullivan,How come I don't get any matches? :(,2,0,5.362.0,2024-03-23 02:20:08,We're sorry to hear you haven't had the best experience on Bumble. For ideas to improve your profile check out these resources (1) bumble.com/the-buzz/best-bumble-profile-photo-tips and (2) bumble.com/help/i-m-not-getting-any-matches.,2024-03-23 13:04:53,5.362.0,2024,3,Saturday,2
74,Kylie Coates,Was a good app until the new update that ruined it. The convenience of being able to make friends and find dates from one app is now gone and I have to make a new account and download another app? I hate it. Not worth the trouble.,1,1,,2024-03-23 02:16:04,We appreciate you sharing your feedback with us. We are always looking for ways to improve our members' experience on the app so we will make sure to pass your input along to our Product Team.,2024-03-23 13:11:54,,2024,3,Saturday,2
