,original_title,genres,original_language,production_countries,production_companies,release_date,year,month,Day,budget,revenue,runtime,status,vote_average,vote_count,popularity
10,Superman Returns(2006),"Adventure,Fantasy,Action,Science Fiction",en,United States of America,"DC Comics,Legendary Pictures,Warner Bros.,Bad Hat Harry Productions",2006-06-28,2006,6,Wednesday,270000000,391081192,154.0,Released,5.4,1400,57.925623
11,Quantum of Solace(2008),"Adventure,Action,Thriller,Crime",en,"United Kingdom,United States of America",Eon Productions,2008-10-30,2008,10,Thursday,200000000,586090727,106.0,Released,6.1,2965,107.928811
12,Pirates of the Caribbean: Dead Man's Chest(2006),"Adventure,Fantasy,Action",en,"Jamaica,United States of America,Bahamas,Dominica","Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions",2006-06-20,2006,6,Tuesday,200000000,1065659812,151.0,Released,7.0,5246,145.847379
13,The Lone Ranger(2013),"Action,Adventure,Western",en,United States of America,"Walt Disney Pictures,Jerry Bruckheimer Films,Infinitum Nihil,Silver Bullet Productions (II),Blind Wink Productions,Classic Media",2013-07-03,2013,7,Wednesday,255000000,89289910,149.0,Released,5.9,2311,49.046956
14,Man of Steel(2013),"Action,Adventure,Fantasy,Science Fiction",en,"United Kingdom,United States of America","Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,Cruel and Unusual Films",2013-06-12,2013,6,Wednesday,225000000,662845518,143.0,Released,6.5,6359,99.398009
15,The Chronicles of Narnia: Prince Caspian(2008),"Adventure,Family,Fantasy",en,"Czech Republic,Poland,Slovenia,United States of America","Walt Disney,Walden Media,Stillking Films,Ozumi Films,Propeler,Silverbell Films,Revolution Sun Studios",2008-05-15,2008,5,Thursday,225000000,419651413,150.0,Released,6.3,1630,53.978602
16,The Avengers(2012),"Science Fiction,Action,Adventure",en,United States of America,"Paramount Pictures,Marvel Studios",2012-04-25,2012,4,Wednesday,220000000,1519557910,143.0,Released,7.4,11776,144.448633
17,Pirates of the Caribbean: On Stranger Tides(2011),"Adventure,Action,Fantasy",en,United States of America,"Walt Disney Pictures,Jerry Bruckheimer Films,Moving Picture Company (MPC)",2011-05-14,2011,5,Saturday,380000000,1045713802,136.0,Released,6.4,4948,135.413856
18,Men in Black 3(2012),"Action,Comedy,Science Fiction",en,United States of America,"Amblin Entertainment,Media Magik Entertainment,Imagenation Abu Dhabi FZ,Hemisphere Media Capital,Parkes/MacDonald Productions",2012-05-23,2012,5,Wednesday,225000000,624026776,106.0,Released,6.2,4160,52.035179
19,The Hobbit: The Battle of the Five Armies(2014),"Action,Adventure,Fantasy",en,"New Zealand,United States of America","WingNut Films,New Line Cinema,Warner Bros. Pictures,3Foot7,Metro-Goldwyn-Mayer (MGM)",2014-12-10,2014,12,Wednesday,250000000,956019788,144.0,Released,7.1,4760,120.965743
20,The Amazing Spider-Man(2012),"Action,Adventure,Fantasy",en,United States of America,"Columbia Pictures,Laura Ziskin Productions,Marvel Entertainment",2012-06-27,2012,6,Wednesday,215000000,752215857,136.0,Released,6.5,6586,89.866276
21,Robin Hood(2010),"Action,Adventure",en,"United Kingdom,United States of America","Imagine Entertainment,Universal Pictures,Scott Free Productions,Relativity Media",2010-05-12,2010,5,Wednesday,200000000,310669540,140.0,Released,6.2,1398,37.668301
22,The Hobbit: The Desolation of Smaug(2013),"Adventure,Fantasy",en,"New Zealand,United States of America","WingNut Films,New Line Cinema,Warner Bros. Pictures,Metro-Goldwyn-Mayer (MGM)",2013-12-11,2013,12,Wednesday,250000000,958400000,161.0,Released,7.6,4524,94.370564
23,The Golden Compass(2007),"Adventure,Fantasy",en,"United Kingdom,United States of America","New Line Cinema,Ingenious Film Partners,Depth of Field,Scholastic Productions",2007-12-04,2007,12,Tuesday,180000000,372234864,113.0,Released,5.8,1303,42.990906
24,King Kong(2005),"Adventure,Drama,Action",en,"New Zealand,United States of America,Germany","WingNut Films,Universal Pictures,Big Primate Pictures,MFPV Film",2005-12-14,2005,12,Wednesday,207000000,550000000,187.0,Released,6.6,2337,61.22601
25,Titanic(1997),"Drama,Romance,Thriller",en,United States of America,"Paramount Pictures,Twentieth Century Fox Film Corporation,Lightstorm Entertainment",1997-11-18,1997,11,Tuesday,200000000,1845034188,194.0,Released,7.5,7562,100.025899
26,Captain America: Civil War(2016),"Adventure,Action,Science Fiction",en,United States of America,"Studio Babelsberg,Marvel Studios,Walt Disney Studios Motion Pictures,Vita-Ray Dutch Productions (III),Deluxe Digital Studios",2016-04-27,2016,4,Wednesday,250000000,1153304495,147.0,Released,7.1,7241,198.372395
27,Battleship(2012),"Thriller,Action,Adventure,Science Fiction",en,United States of America,"Universal Pictures,Hasbro,Bluegrass Films,Film 44",2012-04-11,2012,4,Wednesday,209000000,303025485,131.0,Released,5.5,2114,64.928382
28,Jurassic World(2015),"Action,Adventure,Science Fiction,Thriller",en,United States of America,"Universal Studios,Amblin Entertainment,Legendary Pictures,Fuji Television Network,Dentsu",2015-06-09,2015,6,Tuesday,150000000,1513528810,124.0,Released,6.5,8662,418.708552
29,Skyfall(2012),"Action,Adventure,Thriller",en,"United Kingdom,United States of America",Columbia Pictures,2012-10-25,2012,10,Thursday,200000000,1108561013,143.0,Released,6.9,7604,93.004993
30,Spider-Man 2(2004),"Action,Adventure,Fantasy",en,United States of America,"Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises",2004-06-25,2004,6,Friday,200000000,783766341,127.0,Released,6.7,4321,35.149586
31,Iron Man 3(2013),"Action,Adventure,Science Fiction",en,"China,United States of America",Marvel Studios,2013-04-18,2013,4,Thursday,200000000,1215439994,130.0,Released,6.8,8806,77.68208
32,Alice in Wonderland(2010),"Family,Fantasy,Adventure",en,United States of America,"Walt Disney Pictures,Team Todd,Tim Burton Productions,Roth Films,Zanuck Company, The",2010-03-03,2010,3,Wednesday,200000000,1025491110,108.0,Released,6.4,4645,78.530105
33,X-Men: The Last Stand(2006),"Adventure,Action,Science Fiction,Thriller",en,"Canada,United Kingdom,United States of America","Ingenious Film Partners,Twentieth Century Fox Film Corporation,Donners' Company,Dune Entertainment,Major Studio Partners,Bad Hat Harry Productions,thinkfilm,Marvel Enterprises,X3 Canada Productions,X3US Productions,XM3 Service",2006-05-24,2006,5,Wednesday,210000000,459359555,104.0,Released,6.3,3525,3.857526
34,Monsters University(2013),"Animation,Family",en,United States of America,"Walt Disney Pictures,Pixar Animation Studios",2013-06-20,2013,6,Thursday,200000000,743559607,104.0,Released,7.0,3528,89.186492
35,Transformers: Revenge of the Fallen(2009),"Science Fiction,Action,Adventure",en,United States of America,"Paramount Pictures,DreamWorks SKG,Amblin Entertainment,Di Bonaventura Pictures,Platinum Dunes,Hasbro Studios,Revolution Sun Studios",2009-06-19,2009,6,Friday,150000000,836297228,150.0,Released,6.0,3138,21.939663
36,Transformers: Age of Extinction(2014),"Science Fiction,Action,Adventure",en,United States of America,"Paramount Pictures,Amblin Entertainment,Di Bonaventura Pictures,Platinum Dunes,China Movie Channel,Hasbro Studios,Ian Bryce Productions,Revolution Sun Studios",2014-06-25,2014,6,Wednesday,210000000,1091405097,165.0,Released,5.8,3095,116.840296
37,Oz: The Great and Powerful(2013),"Fantasy,Adventure,Family",en,United States of America,"Walt Disney Pictures,Roth Films",2013-03-07,2013,3,Thursday,200000000,491868548,130.0,Released,5.7,3530,46.985445
38,The Amazing Spider-Man 2(2014),"Action,Adventure,Fantasy",en,United States of America,"Columbia Pictures,Marvel Enterprises,Avi Arad Productions,Matt Tolmach Productions",2014-04-16,2014,4,Wednesday,200000000,705717432,142.0,Released,6.5,4179,89.270217
39,TRON: Legacy(2010),"Adventure,Action,Science Fiction",en,United States of America,"Walt Disney Pictures,LivePlanet,Prana Studios,Sean Bailey Productions,Revolution Sun Studios,Kontsept Film Company",2010-12-10,2010,12,Friday,170000000,400062763,125.0,Released,6.3,2841,73.79505
40,Cars 2(2011),"Animation,Family,Adventure,Comedy",en,United States of America,"Walt Disney Pictures,Pixar Animation Studios",2011-06-11,2011,6,Saturday,200000000,559852396,106.0,Released,5.8,2033,49.98659
41,Green Lantern(2011),"Adventure,Action,Thriller,Science Fiction",en,United States of America,"De Line Pictures,Warner Bros.,DC Entertainment",2011-06-16,2011,6,Thursday,200000000,219851172,114.0,Released,5.1,2487,51.872839
42,Toy Story 3(2010),"Animation,Family,Comedy",en,United States of America,"Walt Disney Pictures,Pixar Animation Studios",2010-06-16,2010,6,Wednesday,200000000,1066969703,103.0,Released,7.6,4597,59.995418
43,Terminator Salvation(2009),"Action,Science Fiction,Thriller",en,"Germany,Italy,United Kingdom,United States of America","Columbia Pictures,The Halcyon Company,Wonderland Sound and Vision,Warner Bros.",2009-05-20,2009,5,Wednesday,200000000,371353001,115.0,Released,5.9,2463,71.862892
44,Furious 7(2015),Action,en,"Japan,United States of America","Universal Pictures,Original Film,Fuji Television Network,Dentsu,One Race Films,China Film Co.,Québec Production Services Tax Credit,Media Rights Capital (MRC),Abu Dhabi Film Commission,Colorado Office of Film, Television & Media",2015-04-01,2015,4,Wednesday,190000000,1506249360,137.0,Released,7.3,4176,102.322217
45,World War Z(2013),"Action,Drama,Horror,Science Fiction,Thriller",en,"United States of America,Malta","Paramount Pictures,GK Films,Skydance Productions,Hemisphere Media Capital,Apparatus Productions,Latina Pictures,2DUX²",2013-06-20,2013,6,Thursday,200000000,531865000,116.0,Released,6.7,5560,81.834855
46,X-Men: Days of Future Past(2014),"Action,Adventure,Fantasy,Science Fiction",en,"United Kingdom,United States of America","Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,TSG Entertainment,Down Productions,Revolution Sun Studios",2014-05-15,2014,5,Thursday,250000000,747862775,131.0,Released,7.5,6032,118.078691
47,Star Trek Into Darkness(2013),"Action,Adventure,Science Fiction",en,United States of America,"Paramount Pictures,Skydance Productions,Bad Robot,Kurtzman/Orci",2013-05-05,2013,5,Sunday,190000000,467365246,132.0,Released,7.4,4418,78.291018
48,Jack the Giant Slayer(2013),"Action,Family,Fantasy",en,United States of America,"New Line Cinema,Original Film,Legendary Pictures,Warner Bros.,Big Kid Pictures,Bad Hat Harry Productions",2013-02-27,2013,2,Wednesday,195000000,197687603,114.0,Released,5.5,2598,43.349855
49,The Great Gatsby(2013),"Drama,Romance",en,"United States of America,Australia","Village Roadshow Pictures,Bazmark Films,Warner Bros.,A&E Television Networks,Red Wagon Entertainment,Spectrum Films",2013-05-10,2013,5,Friday,105000000,351040419,143.0,Released,7.3,3769,61.196071
50,Prince of Persia: The Sands of Time(2010),"Adventure,Fantasy,Action,Romance",en,United States of America,"Walt Disney Pictures,Jerry Bruckheimer Films",2010-05-19,2010,5,Wednesday,150000000,335154643,116.0,Released,6.2,2317,62.169881
51,Pacific Rim(2013),"Action,Science Fiction,Adventure",en,"United States of America,Canada","Legendary Pictures,Warner Bros.,Disney Double Dare You (DDY),Indochina Productions",2013-07-11,2013,7,Thursday,180000000,407602906,131.0,Released,6.7,4794,56.523205
52,Transformers: Dark of the Moon(2011),"Action,Science Fiction,Adventure",en,United States of America,"Paramount Pictures,Di Bonaventura Pictures,Indochina Productions,Hasbro Studios",2011-06-28,2011,6,Tuesday,195000000,1123746996,154.0,Released,6.1,3299,28.529607
53,Indiana Jones and the Kingdom of the Crystal Skull(2008),"Adventure,Action",en,United States of America,"Lucasfilm,Paramount Pictures",2008-05-21,2008,5,Wednesday,185000000,786636033,122.0,Released,5.7,2495,75.674458
54,The Good Dinosaur(2015),"Adventure,Animation,Family",en,United States of America,"Walt Disney Pictures,Pixar Animation Studios",2015-11-14,2015,11,Saturday,175000000,331926147,93.0,Released,6.6,1736,51.692953
55,Brave(2012),"Animation,Adventure,Comedy,Family,Action,Fantasy",en,United States of America,"Walt Disney Pictures,Pixar Animation Studios",2012-06-21,2012,6,Thursday,185000000,538983207,93.0,Released,6.7,4641,125.114374
56,Star Trek Beyond(2016),"Action,Adventure,Science Fiction",en,United States of America,"Paramount Pictures,Bad Robot,Perfect Storm Entertainment,Alibaba Pictures Group,Skydance Media,Sneaky Shark,Huahua Media",2016-07-07,2016,7,Thursday,185000000,343471816,122.0,Released,6.6,2568,65.352913
57,WALL·E(2008),"Animation,Family",en,United States of America,"Walt Disney Pictures,Pixar Animation Studios,FortyFour Studios",2008-06-22,2008,6,Sunday,180000000,521311860,98.0,Released,7.8,6296,66.390712
58,Rush Hour 3(2007),"Action,Comedy,Crime,Thriller",en,United States of America,New Line Cinema,2007-08-08,2007,8,Wednesday,140000000,258022233,91.0,Released,6.1,783,22.57178
59,2012(2009),"Action,Adventure,Science Fiction",en,"Canada,United States of America","Columbia Pictures,Centropolis Entertainment,The Mark Gordon Company,Farewell Productions",2009-10-10,2009,10,Saturday,200000000,769653595,158.0,Released,5.6,4903,45.274225
60,A Christmas Carol(2009),"Animation,Drama",en,United States of America,"Walt Disney,ImageMovers",2009-11-04,2009,11,Wednesday,200000000,325233863,96.0,Released,6.6,1095,39.744242
61,Jupiter Ascending(2015),"Science Fiction,Fantasy,Action,Adventure",en,United States of America,"Village Roadshow Pictures,Dune Entertainment,Anarchos Productions,Warner Bros.",2015-02-04,2015,2,Wednesday,176000003,183987723,124.0,Released,5.2,2768,85.36908
62,The Legend of Tarzan(2016),"Action,Adventure",en,"Canada,United Kingdom,United States of America","Village Roadshow Pictures,Dark Horse Entertainment,Jerry Weintraub Productions,RatPac-Dune Entertainment,Beagle Pug Films,Riche Productions,Village Roadshow Films North America",2016-06-29,2016,6,Wednesday,180000000,356743061,109.0,Released,5.5,2430,42.741719
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe(2005)","Adventure,Family,Fantasy",en,"United Kingdom,United States of America","Walt Disney,Walden Media",2005-12-07,2005,12,Wednesday,180000000,748806957,143.0,Released,6.7,2629,67.391328
64,X-Men: Apocalypse(2016),Science Fiction,en,United States of America,"Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,TSG Entertainment,Kinberg Genre",2016-05-18,2016,5,Wednesday,178000000,543934787,144.0,Released,6.4,4721,139.272042
65,The Dark Knight(2008),"Drama,Action,Crime,Thriller",en,"United Kingdom,United States of America","DC Comics,Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy",2008-07-16,2008,7,Wednesday,185000000,1004558444,152.0,Released,8.2,12002,187.322927
66,Up(2009),"Animation,Comedy,Family,Adventure",en,United States of America,Pixar Animation Studios,2009-05-13,2009,5,Wednesday,175000000,735099082,96.0,Released,7.7,6870,92.201962
67,Monsters vs Aliens(2009),"Animation,Family,Adventure,Science Fiction",en,United States of America,DreamWorks Animation,2009-03-19,2009,3,Thursday,175000000,381509870,94.0,Released,6.0,1423,36.167578
68,Iron Man(2008),"Action,Science Fiction,Adventure",en,United States of America,Marvel Studios,2008-04-30,2008,4,Wednesday,140000000,585174222,126.0,Released,7.4,8776,120.725053
69,Hugo(2011),"Adventure,Drama,Family",en,"France,United States of America,United Kingdom","Paramount Pictures,Infinitum Nihil,GK Films",2011-11-22,2011,11,Tuesday,170000000,185770160,126.0,Released,7.0,2141,32.319043
70,Wild Wild West(1999),"Action,Adventure,Comedy,Science Fiction,Western",en,United States of America,"Todman, Simon, LeMasters Productions,Warner Bros.,Peters Entertainment,Sonnenfeld Josephson Worldwide Entertainment",1999-06-29,1999,6,Tuesday,170000000,222104681,106.0,Released,5.1,1020,40.748915
71,The Mummy: Tomb of the Dragon Emperor(2008),"Adventure,Action,Fantasy",en,"Germany,United States of America","Universal Pictures,China Film Co-Production Corporation,Relativity Media,Alphaville Films,Sommers Company, The",2008-07-01,2008,7,Tuesday,145000000,401128639,112.0,Released,5.2,1387,60.034162
72,Suicide Squad(2016),"Action,Adventure,Crime,Fantasy,Science Fiction",en,United States of America,"DC Comics,Dune Entertainment,Atlas Entertainment,Warner Bros.,DC Entertainment",2016-08-02,2016,8,Tuesday,175000000,745000000,123.0,Released,5.9,7458,90.23792
73,Evan Almighty(2007),"Fantasy,Comedy,Family",en,United States of America,"Columbia Pictures,Universal Pictures,Spyglass Entertainment,Shady Acres Entertainment,Original Film,Playtone,Relativity Media",2007-06-09,2007,6,Saturday,175000000,173000000,96.0,Released,5.3,1151,27.082182
74,Edge of Tomorrow(2014),"Action,Science Fiction",en,"Australia,United States of America","Village Roadshow Pictures,Warner Bros.,Viz Media,Province of British Columbia Production Services Tax Credit,3 Arts Entertainment,RatPac-Dune Entertainment",2014-05-27,2014,5,Tuesday,178000000,370541256,113.0,Released,7.6,4858,79.456485
75,Waterworld(1995),"Adventure,Action",en,United States of America,"Universal Pictures,Gordon Company,Davis Entertainment,Licht/Mueller Film Corporation",1995-07-28,1995,7,Friday,175000000,264218220,135.0,Released,5.9,992,44.640292
76,G.I. Joe: The Rise of Cobra(2009),"Adventure,Action,Thriller,Science Fiction",en,"Czech Republic,United States of America","Paramount Pictures,Spyglass Entertainment,Di Bonaventura Pictures,Hasbro,Kontsept Film Company",2009-08-04,2009,8,Tuesday,175000000,302469017,118.0,Released,5.6,1962,32.852443
77,Inside Out(2015),"Drama,Comedy,Animation,Family",en,United States of America,"Walt Disney Pictures,Pixar Animation Studios",2015-06-09,2015,6,Tuesday,175000000,857611174,94.0,Released,8.0,6560,128.655964
78,The Jungle Book(2016),"Family,Adventure,Drama,Fantasy",en,"United Kingdom,United States of America","Walt Disney Pictures,Walt Disney Studios Motion Pictures,Fairview Entertainment,Moving Picture Company (MPC)",2016-04-07,2016,4,Thursday,175000000,966550600,106.0,Released,6.7,2892,94.199316
79,Iron Man 2(2010),"Adventure,Action,Science Fiction",en,United States of America,Marvel Studios,2010-04-28,2010,4,Wednesday,200000000,623933331,124.0,Released,6.6,6849,77.300194
80,Snow White and the Huntsman(2012),"Adventure,Fantasy,Drama",en,United States of America,"Universal Pictures,Roth Films",2012-05-30,2012,5,Wednesday,170000000,396600000,127.0,Released,5.8,3118,77.178973
81,Maleficent(2014),"Fantasy,Adventure,Action,Family,Romance",en,United States of America,"Walt Disney Pictures,Walt Disney Studios Motion Pictures,Roth Films",2014-05-28,2014,5,Wednesday,180000000,758539785,97.0,Released,7.0,4496,110.620647
82,Dawn of the Planet of the Apes(2014),"Science Fiction,Action,Drama,Thriller",en,United States of America,"Ingenious Media,Chernin Entertainment,TSG Entertainment",2014-06-26,2014,6,Thursday,170000000,710644566,130.0,Released,7.3,4410,243.791743
83,The Lovers(2015),"Action,Adventure,Science Fiction,Romance",en,"Australia,Belgium,India","Corsan,Bliss Media,Limelight International Media Entertainment,Neelmudra Entertainment,Aristos Films,Singularity Productions,Wildkite",2015-02-13,2015,2,Friday,27000000,0,109.0,Released,4.8,34,2.418535
84,47 Ronin(2013),"Drama,Action,Adventure,Fantasy",en,United States of America,"Mid Atlantic Films,Stuber Productions,Universal,Moving Picture Company (MPC),H2F Entertainment",2013-12-06,2013,12,Friday,175000000,150962475,119.0,Released,5.9,1326,41.796339
85,Captain America: The Winter Soldier(2014),"Action,Adventure,Science Fiction",en,United States of America,Marvel Studios,2014-03-20,2014,3,Thursday,170000000,714766572,136.0,Released,7.6,5764,72.225265
86,Shrek Forever After(2010),"Comedy,Adventure,Fantasy,Animation,Family",en,United States of America,DreamWorks Animation,2010-05-16,2010,5,Sunday,165000000,752600867,93.0,Released,6.0,1959,44.041186
87,Tomorrowland(2015),"Adventure,Family,Mystery,Science Fiction",en,United States of America,"Walt Disney Pictures,Babieka,A113",2015-05-19,2015,5,Tuesday,190000000,209154322,130.0,Released,6.2,2846,130.311355
88,Big Hero 6(2014),"Adventure,Family,Animation,Action,Comedy",en,United States of America,"Walt Disney Pictures,Walt Disney Animation Studios",2014-10-24,2014,10,Friday,165000000,652105443,102.0,Released,7.8,6135,203.73459
89,Wreck-It Ralph(2012),"Family,Animation,Comedy,Adventure",en,United States of America,Walt Disney Animation Studios,2012-11-01,2012,11,Thursday,165000000,471222889,108.0,Released,7.1,4570,62.341073
90,The Polar Express(2004),"Adventure,Animation,Family,Fantasy",en,United States of America,"Golden Mean,Playtone,ImageMovers",2004-11-10,2004,11,Wednesday,165000000,305875730,100.0,Released,6.4,1474,47.323228
91,Independence Day: Resurgence(2016),"Action,Adventure,Science Fiction",en,United States of America,"Twentieth Century Fox Film Corporation,Centropolis Entertainment,TSG Entertainment,Stereo D",2016-06-22,2016,6,Wednesday,165000000,389681935,120.0,Released,4.9,2491,48.775723
92,How to Train Your Dragon(2010),"Fantasy,Adventure,Animation,Family",en,United States of America,"DreamWorks Animation,Vertigo Entertainment,Mad Hatter Entertainment",2010-03-05,2010,3,Friday,165000000,494878759,98.0,Released,7.5,4227,67.263269
93,Terminator 3: Rise of the Machines(2003),"Action,Thriller,Science Fiction",en,"Germany,United Kingdom,United States of America","Columbia Pictures,Intermedia Films,Warner Bros.,C-2 Pictures,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,Mostow/Lieberman Productions",2003-07-02,2003,7,Wednesday,200000000,435000000,109.0,Released,5.9,2143,69.405188
94,Guardians of the Galaxy(2014),"Action,Science Fiction,Adventure",en,"United Kingdom,United States of America","Marvel Studios,Moving Picture Company (MPC),Bulletproof Cupid,Revolution Sun Studios",2014-07-30,2014,7,Wednesday,170000000,773328629,121.0,Released,7.9,9742,481.098624
95,Interstellar(2014),"Adventure,Drama,Science Fiction",en,"Canada,United States of America,United Kingdom","Paramount Pictures,Legendary Pictures,Warner Bros.,Syncopy,Lynda Obst Productions",2014-11-05,2014,11,Wednesday,165000000,675120017,169.0,Released,8.1,10867,724.247784
96,Inception(2010),"Action,Thriller,Science Fiction,Mystery,Adventure",en,"United Kingdom,United States of America","Legendary Pictures,Warner Bros.,Syncopy",2010-07-14,2010,7,Wednesday,160000000,825532764,148.0,Released,8.1,13752,167.58371
97,シン・ゴジラ(2016),"Action,Adventure,Drama,Horror,Science Fiction",ja,Japan,"Cine Bazar,Toho Pictures",2016-07-29,2016,7,Friday,15000000,77000000,120.0,Released,6.5,143,9.476999
98,The Hobbit: An Unexpected Journey(2012),"Adventure,Fantasy,Action",en,"New Zealand,United States of America","WingNut Films,New Line Cinema,Warner Bros. Pictures,Metro-Goldwyn-Mayer (MGM)",2012-11-26,2012,11,Monday,250000000,1021103568,169.0,Released,7.0,8297,108.849621
99,The Fast and the Furious(2001),"Action,Crime,Thriller",en,"Germany,United States of America","Universal Pictures,Original Film,Ardustry Entertainment,Mediastream Film GmbH & Co. Productions KG",2001-06-22,2001,6,Friday,38000000,207283925,106.0,Released,6.6,3428,6.909942
100,The Curious Case of Benjamin Button(2008),"Fantasy,Drama,Thriller,Mystery,Romance",en,United States of America,"Paramount Pictures,Warner Bros.,Kennedy/Marshall Company, The",2008-11-24,2008,11,Monday,150000000,333932083,166.0,Released,7.3,3292,60.269279
101,X-Men: First Class(2011),"Action,Science Fiction,Adventure",en,United States of America,"Ingenious Film Partners,Ingenious Media,Twentieth Century Fox Film Corporation,Donners' Company,Dune Entertainment,Dune Entertainment III,Marvel Entertainment,Bad Hat Harry Productions,Big Screen Productions",2011-05-24,2011,5,Tuesday,160000000,353624124,132.0,Released,7.1,5181,3.195174
102,The Hunger Games: Mockingjay - Part 2(2015),"Action,Adventure,Science Fiction",en,"Germany,United States of America","Studio Babelsberg,Lionsgate,Color Force",2015-11-18,2015,11,Wednesday,160000000,653428261,137.0,Released,6.6,3984,127.284427
103,The Sorcerer's Apprentice(2010),"Fantasy,Adventure,Action,Comedy,Drama",en,United States of America,"Walt Disney Pictures,Jerry Bruckheimer Films,Saturn Films,Broken Road Productions,Junction Entertainment",2010-07-13,2010,7,Tuesday,150000000,215283742,109.0,Released,5.8,1470,35.580815
104,Poseidon(2006),"Adventure,Action,Drama,Thriller",en,United States of America,"Virtual Studios,Next Entertainment,Warner Bros.,Irwin Allen Productions,Radiant Productions,Synthesis Entertainment",2006-05-12,2006,5,Friday,160000000,181674817,99.0,Released,5.5,583,21.133748
105,Alice Through the Looking Glass(2016),Fantasy,en,"United Kingdom,United States of America","Walt Disney Pictures,Team Todd,Tim Burton Productions,Roth Films,Legend3D",2016-05-25,2016,5,Wednesday,170000000,299370084,113.0,Released,6.5,1725,56.268916
106,Shrek the Third(2007),"Fantasy,Adventure,Animation,Comedy,Family",en,United States of America,"DreamWorks SKG,DreamWorks Animation",2007-05-17,2007,5,Thursday,160000000,798958165,93.0,Released,6.0,2278,42.986467
107,Warcraft(2016),"Action,Adventure,Fantasy",en,"Canada,China,Japan,United States of America","Universal Pictures,Atlas Entertainment,Legendary Pictures,Blizzard Entertainment",2016-05-25,2016,5,Wednesday,160000000,433677183,123.0,Released,6.3,2268,63.148529
108,Terminator Genisys(2015),"Science Fiction,Action,Thriller,Adventure",en,United States of America,"Paramount Pictures,Annapurna Pictures,Skydance Media",2015-06-23,2015,6,Tuesday,155000000,440603537,126.0,Released,5.8,3631,202.042635
109,The Chronicles of Narnia: The Voyage of the Dawn Treader(2010),"Adventure,Family,Fantasy",en,United States of America,"Dune Entertainment,Fox 2000 Pictures,Walden Media",2010-08-13,2010,8,Friday,155000000,415686217,113.0,Released,6.2,1514,49.661984
110,Pearl Harbor(2001),"History,Romance,War",en,United States of America,"Jerry Bruckheimer Films,Touchstone Pictures",2001-05-21,2001,5,Monday,140000000,449220945,183.0,Released,6.6,1791,34.20669
